procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 574412    664 1145588    0    0   586   111 2305   12  4  5 91  0  0  0
12  3      0 174812    664 1553324    0    0     0 227365 5052 14436 12 87  1  0  0  0
12  0  85068 488724     92 1326768    0 80336     4 901875 3960 7287  5 95  0  1  0  0
18  0  85068 746120     92 1069772    0    0     0 299892 4920 12129  8 92  0  0  0  0
 0  4  93556 101856     92 1717552    0 7876     0 534969 2674 4712  3 56  1 40  0  0
 0  4  93556 103260     92 1718444    0    0     0 49352 1267 1236  1  7  1 92  0  0
 1  2  93556 357956     92 1462272    0    0     0 115489 1786 2988  1 18  0 81  0  0
 1  1  93556 591548     92 1227512    0    0     0 102785 1505 1561  0 13 24 63  0  0
 1  2  93556 573188     92 1241256    0    0     0 60235 3793 9884  5 79  7  9  0  0
 1  7  93556 566648     92 1244096    0    0     0 126633 2038 3863  1 27  6 66  0  0
11  5  93556 108852     92 1690740    0    0     0 668529 4111 8417  3 79  2 17  0  0
 7  4 121760 608428     92 1222828    0 26680     0 431374 4777 11082  7 93  0  0  0  0
13  0 121760 646400     92 1190488    0    0     0 889075 4006 7932  5 95  0  0  0  0
12  4 121760 480916     92 1344756    0    0     0 484619 4482 10568  7 93  0  0  0  0
13  1 121760 851200     92 976700    0    0     0 594617 4619 10139  4 93  1  2  0  0
14  0 121760 626692     92 1196592    0    0     0 797532 4173 8494  5 95  0  0  0  0
17  1 121760 763812     92 1050088    0    0     0 277428 4312 9616  6 91  2  2  0  0
16  4 137856 223232     92 1623540    0 14604     4 863700 3455 5290  4 95  0  1  0  0
13  0 137856 862412     92 978792    0    0     0 233656 4360 10004  5 94  1  0  0  0
11  1 167120 112436     92 1767668    0 27528     0 799898 4248 8347  3 97  0  0  0  0
11  1 167120 933308     92 942708    0    0  1188 327129 5248 13330  6 93  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  3 167120 260172     92 1611900    0    0   276 711043 3968 9040  4 89  1  6  0  0
