[2026-08-04 14:20:40] procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
[2026-08-04 14:20:40] r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
[2026-08-04 14:20:40] 7  0 1032420 445756      0 1233284    8  119   562   753 23523  209  4 34 63  0  0  0
[2026-08-04 14:20:41] 3  0 1032420 431020      0 1249904    0    0     0     0 59220 99863 12 81  7  0  0  0
[2026-08-04 14:20:42] 5  0 1032420 431020      0 1249904    0    0     0     0 88614 142592  1 94  5  0  0  0
[2026-08-04 14:20:43] 2  0 1032420 431020      0 1249904    0    0     0     0 77124 114639  4 92  4  0  0  0
[2026-08-04 14:20:44] 3  0 1032420 431020      0 1249904    0    0     0    60 79151 134485  4 91  5  0  0  0
[2026-08-04 14:20:45] 1  0 1032420 431020      0 1249904    0    0     0   129 76620 108542  3 94  3  0  0  0
[2026-08-04 14:20:46] 6  0 1032420 431020      0 1249904    0    0     0    16 83648 141186  6 90  4  0  0  0
[2026-08-04 14:20:47] 5  0 1032420 431020      0 1249904    0    0     0     0 60793 107954 15 81  4  0  0  0
[2026-08-04 14:20:48] 2  0 1032420 430768      0 1249904    0    0     0     0 55100 112636 18 78  4  0  0  0
[2026-08-04 14:20:49] 1  0 1032420 430768      0 1249904    0    0     0     0 56515 71666  8 87  5  0  0  0
[2026-08-04 14:20:50] 4  0 1032420 445668      0 1233304    0    0     0     4 79043 137982  4 89  8  0  0  0
[2026-08-04 14:20:51] 1  0 1032420 445692      0 1233288    0    0     0     0 78175 121093  3 90  7  0  0  0
[2026-08-04 14:20:52] 8  0 1032420 445692      0 1233288    0    0     0     8 86310 152668  2 91  7  0  0  0
[2026-08-04 14:20:53] 1  0 1032420 445692      0 1233288    0    0     0     0 67286 115566 12 83  5  0  0  0
[2026-08-04 14:20:54] 5  0 1032420 445692      0 1233288    0    0     0     0 74907 110642  5 89  6  0  0  0
[2026-08-04 14:20:55] 1  0 1032420 445692      0 1233288    0    0     0     0 66313 107829  7 84 10  0  0  0
[2026-08-04 14:20:56] 5  0 1032420 445692      0 1233288    0    0     0     0 72268 134307  9 83  8  0  0  0
[2026-08-04 14:20:57] 5  0 1032420 445692      0 1233288    0    0     0     0 68769 109864  2 84 14  0  0  0
[2026-08-04 14:20:58] 7  0 1032420 445692      0 1233288    0    0     0     4 74267 109896  2 90  8  0  0  0
[2026-08-04 14:20:59] 3  0 1032420 445692      0 1233288    0    0     0     0 85843 149286  3 94  4  0  0  0
[2026-08-04 14:21:00] 2  0 1032420 445692      0 1233288    0    0     0     0 78759 103086  1 95  5  0  0  0
[2026-08-04 14:21:01] procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
[2026-08-04 14:21:01] r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
[2026-08-04 14:21:01] 6  0 1032420 445692      0 1233288    0    0     0     0 70736 71228  0 96  4  0  0  0
[2026-08-04 14:21:02] 7  0 1032420 445692      0 1233288    0    0     0     0 74034 118401  8 88  4  0  0  0
[2026-08-04 14:21:03] 3  0 1032420 445692      0 1233288    0    0     0     4 73366 96780  3 92  5  0  0  0
[2026-08-04 14:21:04] 4  0 1032420 445692      0 1233288    0    0     0     0 79115 123472  5 91  4  0  0  0
[2026-08-04 14:21:05] 5  0 1032420 445692      0 1233288    0    0     0     0 71021 102451  5 90  5  0  0  0
[2026-08-04 14:21:06] 5  0 1032420 445692      0 1233288    0    0     0     0 86387 133015  1 95  4  0  0  0
[2026-08-04 14:21:07] 5  0 1032420 445692      0 1233288    0    0     0     0 81446 125096  4 94  2  0  0  0
[2026-08-04 14:21:08] 6  0 1032420 445692      0 1233288    0    0     0     0 85426 135922  0 94  6  0  0  0
[2026-08-04 14:21:09] 1  0 1032420 445692      0 1233288    0    0     0     4 72264 80019  0 96  4  0  0  0
